000037,09,c
001210,12,d
001215,12,d
001250,12,d
001252,12,d
001260,12,d
001261,12,d
001262,12,d
001263,12,d
001264,12,d
001265,12,d
001280,12,d
001281,12,d
001282,12,d
001283,12,d
001284,12,d
001285,12,d
202022,09,c
202027,09,c
272800,09,c
286900,09,c
377664,09,c
400178,26,c
400195,09,d
400443,09,d
400486,09,c
400550,09,c
400605,09,c
400819,37,d
400820,09,d
400889,26,d
402029,09,c
402318,09,c
402514,09,c
402766,09,d
403707,26,c
404360,09,c
404903,09,c
405063,09,d
405306,26,c
405689,09,d
405930,26,d
406130,09,c
407339,09,c
407458,26,c
407559,26,c
407848,09,d
408242,26,c
408244,26,c
408245,26,c
408340,12,d
408341,12,d
408343,12,d
408400,09,d
409851,12,d
410080,26,c
410128,09,d
410177,12,d
410180,12,c
410181,12,c
410852,26,c
411808,12,d
412432,09,d
413098,09,d
413131,09,d
413153,09,c
413405,09,c
413406,09,c
415231,12,d
415269,09,d
415327,12,c
415447,09,c
415571,09,c
416502,09,c
416689,09,c
416916,37,d
417849,09,c
417850,09,c
417967,09,c
417968,09,c
418073,12,c
418075,12,c
418076,12,c
418077,12,c
418078,12,c
418080,12,c
418090,12,c
418093,12,c
418094,12,c
418914,09,d
418928,09,d
419334,09,d
419335,09,d
419690,09,c
419691,09,c
420199,09,c
420713,26,c
421003,09,d
421316,09,d
421364,09,d
421648,09,c
421811,09,c
421812,09,c
422299,09,d
422671,09,d
423646,09,c
425763,26,c
425766,26,c
425768,26,c
425981,09,c
425982,09,c
425983,09,d
425984,09,d
426012,09,c
426188,09,d
426513,09,c
426514,09,c
426807,37,c
426808,09,d
427213,09,c
427435,26,c
428464,09,d
428574,09,c
428575,09,c
429522,26,d
430902,26,c
430967,09,d
431479,09,c
432049,09,d
433126,09,d
433194,09,d
433454,09,d
434798,09,d
435741,26,c
435769,09,d
436401,09,c
437778,09,c
438099,09,d
439120,26,c
439185,09,c
439186,09,c
439187,09,c
441134,26,c
441311,12,c
441312,12,d
441313,12,d
441314,12,c
441541,26,c
441545,26,d
441549,26,d
442192,09,d
444085,12,c
444086,12,c
444087,12,c
444449,09,c
444888,09,d
444889,09,d
445016,09,d
445017,09,d
446097,09,d
446115,12,d
446116,12,d
446117,12,d
446118,12,d
446137,09,c
446138,09,c
446351,09,c
446565,09,c
446878,09,d
446985,26,d
446986,26,d
448790,09,c
449187,26,d
449700,26,d
449702,26,d
451312,09,d
451899,09,c
452421,09,c
454057,26,c
454069,26,c
454492,26,c
454747,09,c
455255,26,c
455500,12,c
455501,12,c
455502,12,c
455503,12,c
455504,12,c
455505,12,c
455506,12,c
455507,12,c
455508,12,c
455509,12,d
455510,12,d
455511,12,d
455513,12,c
455514,12,c
455515,12,c
455517,12,c
455518,12,c
455519,12,c
455525,12,c
455526,12,c
455527,12,c
455529,12,c
455533,12,d
455537,12,d
455540,12,c
455545,12,c
455616,09,c
456300,09,c
456344,09,c
456880,09,c
457249,09,d
457386,09,d
457387,09,c
457476,09,d
459497,09,d
460068,09,d
460700,09,d
460766,09,d
462278,09,d
462974,09,c
463186,09,c
463187,09,c
464116,09,c
464596,09,c
464597,09,c
464598,09,c
464599,09,c
464811,09,c
464812,09,c
465495,09,d
465496,09,d
465497,09,d
465498,09,d
465762,09,d
465828,09,d
465829,09,d
466397,26,d
467596,26,d
469495,26,d
469693,09,d
469849,09,c
471239,09,d
473701,09,c
473993,26,d
474174,09,d
474175,09,c
474176,09,d
474494,09,c
474646,09,d
476202,09,c
476203,09,c
476204,09,c
476588,09,d
476684,26,d
476687,26,d
476840,09,d
476890,26,d
477130,09,d
477177,26,d
477210,12,c
477211,12,c
477212,12,c
477213,12,c
477214,12,c
477247,26,c
477260,09,c
477261,26,d
477291,12,c
477292,12,c
477831,09,c
477961,26,d
479303,82,d
479461,26,c
480790,26,c
480862,09,c
481279,09,d
481284,09,c
481514,12,c
481515,12,c
481516,12,d
481517,12,d
483030,09,d
483104,09,d
483112,09,d
483347,09,c
485040,09,c
485043,09,d
485044,09,d
485942,26,c
485943,26,c
490176,26,c
490178,26,c
490256,26,d
490950,26,d
491046,09,c
491047,09,c
491048,09,c
491089,09,d
491271,26,c
491272,26,c
491280,09,c
491281,09,c
491282,09,d
491283,09,c
491284,09,c
491294,09,c
491295,09,c
491327,09,c
491341,09,c
491343,09,c
491344,09,d
491346,09,c
491365,09,d
491366,09,c
491369,09,c
491371,09,c
491375,09,c
491376,09,c
491405,09,c
491406,09,c
491418,09,c
491501,26,c
491502,26,c
491512,09,c
491528,09,c
491529,09,c
491566,09,d
491567,09,d
491572,09,c
491573,09,c
491580,09,d
491586,09,c
491871,09,c
491872,09,c
491873,09,c
492143,09,d
493135,09,c
493136,09,c
493157,09,c
493158,09,c
493160,12,c
493161,12,c
493162,12,c
493164,26,c
493165,26,c
493166,09,c
493170,09,c
493172,09,c
493173,09,c
493815,09,c
494133,09,c
494134,09,c
494388,26,c
494398,12,c
498460,26,c
498588,09,d
498589,09,c
498590,09,d
502275,09,d
504536,26,d
504563,26,d
506199,09,d
506201,09,d
506202,09,c
506203,09,c
506204,09,d
506205,09,d
506206,09,d
506212,09,d
506213,09,d
